country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,230361,234120,"225,003",236595,241230,239964.813,256106.947,261145.405,277771.583,263847.984,261574.444,268068.701,277478.223,278204.289,281940.962,302241.474,305838.801,316964.479,325380.244,329479.95,324877.865,341390.366,336355.575,342776.492,350268.173,357946.871,363795.736,376197.53,382464.433,368170.467,369039.546
Belgium,124022,117553,101631,105423,104473,102874.018,103116.04,100354.789,107461.435,106049.64,110959.753,111968.178,107652.119,112334.878,112327.544,118059.065,115341.818,118374.427,115085.128,114894.444,114315.058,107098.402,114564.414,110908.415,108297.511,106775.706,103215.049,103882.443,104021.789,109093.25,97765.887
Brazil,171806,172177,166632,168807,181249,198883.412,207530.198,209363.698,214024.455,208886.988,219330.604,220705.729,230738.641,242154.012,258347.484,284782.887,300547.32,312289.054,320173.104,327983.814,337433.673,332266.87,321621.569,337826.042,347308.904,347668.27,363212.683,387675.24,367147.374,419754.156,439412.943
Canada,430003,414811,408687,425596,422079,405053.153,431349.21,456053.789,463274.112,435181.225,426780.128,440608.385,445665.178,456955.871,467527.832,479463.917,494601.293,506456.704,515462.856,534483.585,527926.989,519335.208,553185.285,552349.209,563071.517,550233.35,560801.644,544105.793,507424.792,496104.763,485463.129
China,1451501,1580261,1667029,1814908,1966553,2068969.071,2209708.531,2369501.723,2408540.605,2460744.017,2584538.27,2695982.067,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3694242.143,4525177.009,5288166.032,5790016.984,6414463.08,6791804.714,7035443.861,7692210.895,8256969.232,9019518.215
Cuba,32750,34554,30843,32603,32578,33567.718,33952.753,35635.906,35738.582,33494.378,29655.029,31385.853,29380.004,32247.598,25709.337,26996.454,24649.574,24499.227,25331.636,26083.371,25452.647,26090.705,25485.65,25005.273,26006.364,27407.158,26794.769,30443.434,29897.051,38360.487,35921.932
Denmark,51789,53696,51176,50861,60073,58903.021,58341.97,55107.676,48785.768,50230.566,60270.812,54322.938,57065.854,61000.545,57172.197,72181.228,61557.929,59552.08,55148.013,51330.666,52918.477,52049.398,55998.757,50600.933,47095.281,54986.665,50256.235,46955.935,44513.713,46570.9,40377.337
Egypt,50979,56523,57092,63839,63938,74564.778,74810.467,74531.775,72181.228,75943.57,78715.822,81264.387,93156.468,85312.755,95723.368,102030.608,108202.169,122243.112,125393.065,141326.18,125451.737,127193.562,147963.45,150911.718,167207.866,178615.903,193342.575,196796.889,198069.338,204677.272,220790.07
Ethiopia,1867,1481,1845,1665,1815,2214.868,2581.568,2673.243,2827.257,3017.941,2984.938,2966.603,3028.942,2948.268,2145.195,3744.007,4272.055,5023.79,5064.127,5819.529,4308.725,4481.074,4946.783,5243.81,5053.126,5419.826,5914.871,6369.579,6560.263,6618.935,7543.019
Finland,51510,43084,41576,42255,49666,53329.181,57656.241,52185.077,52584.78,51745.037,53699.548,47472.982,50402.915,57223.535,52713.125,61282.904,59933.448,56988.847,55423.038,52427.099,57051.186,61682.607,69130.284,67091.432,54645.634,66200.351,63985.483,56596.478,53167.833,61843.955,54766.645
