country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,6153.346285,6391.290025,6366.126619,6699.562532,7007.61518,7309.094541,7525.685721,7800.534714,8129.103625,8527.228085,8522.159222,8550.328665,8701.760344,8812.489499,8994.35591,9108.29556,9291.083869,9783.442895,10036.45778,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.48454,10972.89174,10749.11055,10791.5931,10746.85397,10742.46832,10445.14902,10133.85918
Belgium,4910.953281,4904.070015,5043.975356,5285.543762,5502.668409,5617.419822,5876.962998,6057.062732,6205.76377,6380.31322,6655.414381,6850.663773,6881.072143,7176.240507,7379.737079,7527.688545,7701.612131,7913.05858,7944.129807,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.491281,8521.49674,7903.029252,8387.616784,8021.366172,7987.691861,7966.686748
Brazil,1008.997215,1043.116266,1098.467567,1194.485568,1268.404931,1339.415627,1353.260401,1404.735395,1435.476273,1447.260132,1473.892492,1483.295598,1528.208652,1558.668465,1627.015527,1680.058678,1755.222281,1800.588403,1823.54842,1886.601709,1735.954761,1791.620533,1863.627725,1933.983634,1990.643638,2044.858925,2137.764992,2198.48369,2165.684743,2339.44492,2394.398488,2463.276177,2529.30371
Canada,13196.82731,12937.26688,13409.72659,14290.40542,14800.05397,15302.58739,15736.76083,16326.41755,16402.57131,16109.27998,16104.46973,16080.34644,16235.99151,16325.65728,16503.27042,16572.68325,16608.55298,16385.40196,16625.3869,16990.57839,16807.14499,16959.60079,17191.15419,17235.41178,17012.78163,16560.99591,16771.07783,16459.68647,15537.59153,15341.50262,15738.82487,15322.65853,15519.33597
China,285.8177757,299.1979219,317.0202578,336.4116413,362.8120719,391.351625,426.5544932,461.7975182,487.373173,510.6198549,548.9537531,604.6936831,662.6370456,727.1073597,770.2802412,821.0808591,852.7406865,870.6172223,913.963448,993.4304575,1077.138027,1195.538113,1380.291059,1586.866501,1783.867702,2041.965035,2330.259469,2457.541775,2632.663041,2943.589954,3298.003913,3474.98362,3762.076942
Cuba,964.4666918,1008.299937,1052.802358,1117.992593,1004.2656,1075.236246,1093.163724,1149.427502,1187.284894,1214.033306,1049.7369,904.5457827,839.5418371,897.2274676,917.8393493,973.0386152,1039.232008,1045.110653,1080.907316,1138.908212,1159.21916,1186.727393,1194.934888,1176.35232,1155.131865,1225.698988,1298.648011,1317.155465,1326.406456,1293.67067,1322.286169,1368.818222,1425.477921
Denmark,4589.996977,4678.954475,4739.654345,4979.635611,5351.125048,5618.554627,5794.394565,5858.057563,5853.960005,5944.828367,6217.335513,6236.258477,6306.869562,6539.535706,6424.537292,6646.685948,6607.201412,6504.256329,6508.513381,6482.488628,6490.092993,6533.752014,6602.63638,6615.569959,6659.000427,6824.745939,6668.390266,6534.12385,6219.701092,6327.506456,6165.97362,6036.585061,6039.610097
Egypt,417.420821,457.373456,502.6147568,520.6657314,495.9512337,588.5333401,618.2216988,632.5152686,654.390603,674.6602801,691.1270389,695.2409539,711.6978528,724.8398299,744.1395368,803.5143422,843.9404875,889.0422539,947.5081809,984.0651714,1036.940475,1087.72251,1155.816525,1199.588543,1271.754874,1343.768742,1436.074098,1482.85326,1550.487471,1589.87591,1700.740231,1700.449057,1697.470204
Ethiopia,18.89546373,19.61760914,20.38715948,21.31996243,19.84010348,19.83509035,20.2667486,19.23903172,18.65028612,22.51488615,21.85397779,21.64612229,23.28062575,23.58826364,24.00535623,24.42599173,23.86142415,23.72920121,22.92790563,22.68088923,26.4792685,26.13964223,28.52319042,30.66827006,33.41668752,37.36552713,39.46003638,40.91256666,42.12088615,48.34299116,52.71609995,57.54344631,64.61617032
Finland,8493.605369,8533.161741,9124.164631,9808.466257,10482.83161,10622.88818,11358.39475,11778.27227,12034.75727,12485.68365,12470.73043,12514.10157,13012.66943,13603.27636,13591.39667,13721.92376,14454.93873,14846.42082,15075.86719,15303.86428,15709.305,16138.14411,16442.88697,16774.88805,16115.98415,17212.94852,17161.24128,16349.79794,15241.61194,16482.60267,15707.26199,15687.19153,15509.73235
France,4567.747345,4606.907708,4699.509676,4933.012334,5246.401989,5494.945092,5634.210191,5717.290639,5836.01291,5940.750613,6359.774172,6475.788028,6453.00066,6530.411669,6621.941859,6905.164984,6833.136982,7015.501254,7149.29728,7225.019732,7342.256556,7299.31318,7529.598738,7661.506884,7655.538622,7543.046538,7519.06208,7646.21478,7340.669124,7737.017526,7233.684103,7366.623769,7379.193404
Greece,2263.768905,2270.490881,2424.586612,2561.692581,2666.317707,2724.231939,2859.129882,3097.544352,3205.114863,3221.40532,3253.220687,3398.383758,3459.422977,3598.523798,3708.997588,3832.66722,3989.116107,4175.734566,4316.32629,4586.32987,4719.147217,4909.639698,5091.292424,5200.024354,5297.200025,5434.576469,5701.330854,5805.192546,5627.883706,5333.439556,5389.333122,5534.897159,5028.995794
India,152.2672038,158.5190351,166.1428653,183.8218471,194.0977967,208.5924097,220.8809087,240.7513611,257.8230059,272.8997419,291.8029859,305.3875353,321.5660742,342.3165272,359.9000978,360.9460365,376.6451221,387.0335251,393.2069477,394.8025371,394.9535072,411.8229523,431.707988,452.8961733,469.3687485,510.7030141,543.3566224,562.9352825,601.5505835,643.8797543,698.4302265,724.4907458,765.0034087
Indonesia,52.26560191,61.41498494,66.08271958,71.43052387,79.74562123,92.04164746,104.3388639,119.5193724,137.4940008,162.5028472,177.9327046,194.3097174,212.8271008,240.0176401,263.589399,297.1640369,331.2532644,331.0660685,356.9715487,390.3745529,411.4278341,417.4742658,428.8590606,474.4106299,500.7232933,516.1560922,546.3354795,570.3244549,594.3258002,636.5506814,680.6755789,718.6846598,787.6800174
Iraq,734.2873088,899.1068567,1037.175623,1215.804592,1279.114886,1328.47162,1309.216146,1335.717975,1329.175154,1304.463123,1092.302089,1305.789457,1321.209316,1369.314213,1414.944159,1371.682587,1355.059138,1313.464111,1273.996662,1236.916564,1238.107715,1264.322551,1040.677201,1201.95148,833.5642929,972.3280488,767.955066,747.1369779,1093.303532,1190.806474,1340.702418,1473.690151,1797.883657
Italy,3096.934737,3132.771223,3134.392335,3304.327409,3391.669627,3490.343116,3662.666562,3825.917783,4007.179517,4144.907442,4224.740106,4310.537968,4303.645312,4439.319253,4597.892598,4658.700157,4791.285246,4955.721944,5079.492406,5299.856479,5406.491722,5539.703837,5652.519542,5687.997573,5731.101557,5833.467297,5804.325964,5757.960611,5368.390567,5493.711037,5514.803615,5397.741477,5159.183655
Japan,4754.377465,4696.620486,4960.933766,5184.888933,5327.798665,5327.79113,5639.948891,5904.789867,6236.922902,6486.153946,6689.649051,6716.813304,6789.281814,7202.583206,7364.894491,7519.652982,7674.940701,7692.120253,7816.78262,7975.205569,7822.814179,7915.665581,7815.311859,8050.72753,8212.689692,8246.625057,8474.379106,8052.575685,7808.070474,8337.128133,7841.459492,7752.716025,7835.603937
Korea,971.7934818,1027.860403,1140.705094,1250.236475,1340.129958,1480.018501,1674.247249,1920.523557,2095.194713,2373.214406,2588.848076,2826.188795,3091.371196,3495.488731,3881.024437,4280.71094,4651.628883,4436.174407,4878.833384,5906.959333,6310.908956,6677.098921,6982.131439,7397.425635,7803.843099,8050.823508,8477.179103,8791.28593,8900.281847,9744.392503,10161.94638,10345.6011,10427.88633
Malaysia,686.5963432,724.9931843,762.6460979,808.6937711,833.9074138,874.3190554,914.1197953,986.7438917,1065.33754,1145.839814,1253.404961,1404.239587,1516.895641,1764.922009,1981.580646,2162.845463,2444.089072,2497.838817,2620.686637,2720.493463,2733.920035,2798.174918,2894.679141,2967.705781,2861.98035,3058.441655,3271.642877,3290.753435,3952.638473,4158.573232,4113.81806,4345.471047,4511.974259
