country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,0.255018231,0.071717018,-0.161600981,-0.006294904,0.046950968,0.063548997,0.063284204,0.14157085,0.4505139,0.762001611,0.998418103,1.100552287,0.824627941,0.384869547,0.153106261,0.135019834,0.113316608,0.109728368,0.194563153,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.584103986,0.781582764
Belgium,-0.002637154,-0.027176883,-0.007944471,-0.001501708,0.029786423,0.035648851,0.085252141,0.317926245,0.363247986,0.298235706,0.371593166,0.405713496,0.390638518,0.308197074,0.209436838,0.195393176,0.241991885,0.213527651,0.229189103,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.386849113,0.726031655,0.489184301,0.431837338
Brazil,2.351566093,2.328553698,2.284879845,2.21639495,2.131554683,2.045785696,1.965904632,1.886775514,1.81013806,1.738052341,1.664150397,1.59730289,1.553849362,1.539482098,1.544566818,1.553475678,1.555075397,1.550011555,1.534401721,1.509387698,1.486708135,1.461195284,1.415948328,1.34637133,1.261578257,1.170442045,1.088080503,1.024472074,0.986850983,0.967796558,0.953765381,0.935181982,0.913687864,0.886360083
Canada,1.240595387,1.205555298,1.002811515,0.961733829,0.929446703,1.004879395,1.311767682,1.291064804,1.783590046,1.493593109,1.360506174,1.2274176,1.094331921,0.961244717,0.828159179,1.077164681,1.057015395,0.865613663,0.827369318,0.882998577,1.009521666,0.897131277,0.996232739,1.002034424,0.985903767,0.796844597,0.969853611,1.082197086,1.144840183,1.113959721,0.987617711,1.183023858,1.15590039,1.098069388
China,1.280952344,1.47267476,1.444949695,1.312068761,1.361699118,1.487398929,1.603605087,1.610071086,1.533169996,1.467303211,1.364434008,1.225536228,1.149619431,1.130260632,1.086509151,1.048141514,1.023450024,0.959550406,0.865851393,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.479150454,0.487231118,0.493709634,0.506311592
Cuba,0.497399627,0.417964673,0.413375559,0.503689203,0.656010638,0.839549155,0.991118767,1.063571696,1.025928245,0.911066919,0.776549523,0.665393379,0.573818974,0.516180752,0.4835878,0.451243183,0.410452428,0.376203969,0.349085461,0.326896008,0.311519891,0.296096046,0.270516617,0.23017071,0.181070556,0.125548849,0.078406894,0.054894328,0.06377813,0.094587294,0.136419273,0.168188789,0.175061758,0.146040659
Denmark,-0.028405212,-0.073481,-0.068666212,-0.052376727,0.040526889,0.133727781,0.12666434,0.048593386,0.059987665,0.16245632,0.259518212,0.330671402,0.333166396,0.337707376,0.520962181,0.565926342,0.415564969,0.363162524,0.330886246,0.334233619,0.358315679,0.319487125,0.272010444,0.258432282,0.275481733,0.328645159,0.443466054,0.58754759,0.535079062,0.444197155,0.411737855,0.376272243,0.416901361,0.419391554
Egypt,2.496538002,2.541341035,2.590106746,2.644491202,2.693764274,2.74558525,2.77053267,2.729760729,2.610754473,2.443443441,2.266006054,2.113397403,1.99343088,1.918764248,1.878164754,1.842630191,1.80594739,1.78775055,1.789421219,1.804475704,1.83430869,1.862949797,1.870619325,1.849213207,1.812441515,1.761984104,1.730021516,1.750948187,1.839638129,1.967711427,2.106638179,2.211107117,2.254326174,2.218863304
Ethiopia,2.392671569,2.776568067,3.051519479,3.174752295,3.19574221,3.188551654,3.209696694,3.255556829,3.339177001,3.436634115,3.532371032,3.586199677,3.569383773,3.470571754,3.322946614,3.162726756,3.029080258,2.935924618,2.896080426,2.891090117,2.891883909,2.879547742,2.858436528,2.82405373,2.781440422,2.738922043,2.701817967,2.668474458,2.639978081,2.61459282,2.589340241,2.562640856,2.535255744,2.50680866
Finland,0.426515645,0.560285844,0.595991321,0.534342931,0.417068904,0.324794896,0.283626732,0.290689051,0.361018799,0.443382074,0.546172018,0.561909851,0.483854089,0.431048903,0.381655333,0.328037914,0.29737733,0.265472962,0.232116249,0.207606515,0.227687342,0.24238105,0.23845724,0.290350362,0.342248594,0.383777136,0.425429832,0.465549285,0.478246393,0.457494535,0.463558707,0.475809487,0.460723773,0.413560208
