country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,92.7755789,92.92544559,92.84942864,93.20671426,92.87885473,93.42174246,93.73860918,93.57842828,93.85217111,93.91128569,93.68871804,94.34266007,93.75834561,93.88648312,93.83177017,93.64822076,93.51265089,93.87865071,93.92791207,93.95772608,93.74112717,93.69344851,93.88602451,94.06821267,94.21585218,94.28091386,94.29310395,94.34729003,95.51005853,95.20648145,94.99566496,94.29569942,93.89566844
Belgium,92.03893617,89.88439231,84.38106338,82.66877761,79.1509524,77.06576913,76.44918324,76.08510889,77.01784999,75.98865163,76.6304865,76.17933283,76.18766468,77.81713133,77.56066785,77.8459212,76.14044525,77.27778344,76.00907486,76.09275599,75.88584247,74.84628001,75.57975979,75.35541682,75.02250473,74.11784645,72.89996541,73.69302996,73.09498964,73.49506918,70.90315069,71.3533559,71.07026669
Brazil,52.90683019,52.55057472,49.6534027,47.40273205,48.2133632,50.00810055,49.50270933,49.97924017,49.83301128,51.21583027,51.95474511,52.68438588,53.26424997,53.26589456,54.60825221,56.26743393,56.68118402,57.34050814,57.28867439,58.23206392,58.94968977,57.15399761,54.64132844,54.6982243,54.25232116,53.42288665,52.66063862,52.56946061,51.31845738,53.48535998,54.56659203,56.54666376,58.02106809
Canada,79.51384386,79.06654511,77.00906144,76.84892407,75.4065927,73.56401829,73.79490756,74.02295139,75.05195139,74.5654914,73.20151214,74.26449387,73.43413461,72.55128204,73.4879396,73.9735299,75.38249242,76.71365517,76.30764221,76.75813467,76.78947294,75.86010909,77.11976761,75.90305354,74.88653104,74.30177252,74.59808777,74.16554469,73.63932509,73.7859274,73.42628541,73.62271422,72.18464079
China,68.38124887,68.8731857,69.60648101,71.16390607,71.56748106,72.22460589,73.23571056,74.23521668,74.31739395,75.70916065,74.8319676,75.43198361,76.46878729,77.04504013,78.42661749,78.99625091,78.94508054,79.01651938,79.42962624,80.33378994,80.32878796,81.13216396,83.1096953,84.79234537,85.57456894,86.52788206,86.79314137,86.4657959,87.0287905,87.52070803,88.17761019,87.90688395,88.13723309
Cuba,67.8816431,67.46603169,69.55924937,67.71887481,68.73340888,67.76557414,68.82716221,67.45765314,66.09892782,60.4892994,57.94674446,53.19775147,59.5291539,60.92116527,67.28375063,65.70349912,67.78493342,70.4633542,69.32851904,69.88997848,68.83141278,71.61012755,74.2962554,74.93073875,80.10630079,83.64289723,84.55396673,86.5238415,87.74217447,88.76114902,86.61783388,85.83993448,87.33428683
Denmark,92.8037632,94.28114565,92.57050097,92.22414619,94.91503626,94.7566271,93.04936064,91.83152448,88.61327836,89.59051862,94.08441927,90.72488798,91.75701497,94.63847163,92.36304094,98.52626246,94.36666382,92.6766256,90.89289458,88.2800504,88.2707013,87.98990847,89.67967719,85.47478824,82.18730305,86.63662222,82.03661355,80.13136834,79.57580426,78.27422571,74.82227821,70.6877515,72.03616792
Egypt,90.4415557,90.92021421,92.15832516,92.84051009,93.41783463,93.26304902,93.74022971,93.69366553,93.89853857,94.07344273,93.88800278,94.04718146,93.96157784,93.38439842,93.81627817,94.07725083,94.15809928,94.44745481,94.01790377,93.88155107,94.23007068,94.88350126,94.99254087,95.32401754,95.95561636,96.03294,95.94154909,96.18696058,96.42950056,96.29524419,96.45830609,96.29211946,96.34986904
Ethiopia,3.412786967,3.092199869,3.162202155,2.85090305,2.835416878,3.181945754,3.763919893,3.688465552,3.785172071,3.868155114,3.707764262,2.451750852,2.989416143,3.331291862,3.655075316,3.843120611,3.625397699,3.641777788,3.534698681,3.755781191,4.525116661,4.583888306,4.814561464,4.895518352,4.479903147,4.646335736,5.039175164,5.213151398,5.110092065,4.788445102,5.113438554,5.052986487,5.639630645
Finland,60.44171863,58.19475399,54.64571227,53.15410689,57.66365832,58.63735814,60.24221204,57.8054603,58.23662615,55.47017689,56.56220558,53.92849134,54.80545497,56.88474415,52.9464572,55.65215756,53.26542931,51.49752183,50.79324858,49.63543086,50.20307315,51.27788686,54.33687373,53.28260983,49.09021465,51.56120136,49.82056381,47.86576458,48.56781113,48.87738246,47.07497323,43.06983263,42.27854244
France,77.75584648,76.61918614,72.29762216,67.52500998,64.33921912,61.28573804,60.41852402,59.39941239,58.84821173,58.15395849,57.94478445,56.15969951,54.1939774,53.31299789,53.57296818,53.84630484,52.89913968,54.79300946,54.01739016,52.8037762,53.39895581,52.81179698,52.69239834,52.41337524,52.25629799,51.80100987,51.62556142,50.80148886,50.79867978,49.76508301,48.42758566,48.74608353,48.35152706
